medico_key,ci,nombre,matricula,sexo,especialidad,zona,ciudad,grupo_origen
1,1000001,María Rodríguez Sánchez,MAT-00001,F,Neurología,Zona Sur,La Paz,G3
2,1000002,Carlos Martínez Cruz,MAT-00002,M,Medicina General,Zona Central,Cochabamba,G3
3,1000003,Ana López Castillo,MAT-00003,F,Neurología,Zona Este,Sucre,G3
4,1000004,Pedro González Castro,MAT-00004,F,Neurología,Zona Oeste,Oruro,G3
5,1000005,Laura Hernández Chávez,MAT-00005,F,Pediatría,Plan 3000,Tarija,G3
6,1000006,Miguel Pérez Martínez,MAT-00006,F,Ginecología,Equipetrol,Potosí,G3
7,1000007,Sofía Sánchez Torres,MAT-00007,M,Medicina General,Urbarí,Trinidad,G3
8,1000008,Diego Ramírez Reyes,MAT-00008,F,Otorrinolaringología,Los Lotes,Cobija,G3
9,1000009,Valentina Torres Rojas,MAT-00009,F,Urología,Pampa de la Isla,El Alto,G3
10,1000010,Jorge Flores Delgado,MAT-00010,M,Urología,Villa 1ro de Mayo,Santa Cruz,G3
11,1000011,Camila Rivera Espinoza,MAT-00011,M,Traumatología,Radial 10,La Paz,G3
12,1000012,Luis Gómez González,MAT-00012,M,Otorrinolaringología,Radial 13,Cochabamba,G3
13,1000013,Fernanda Díaz Rivera,MAT-00013,M,Traumatología,Radial 17,Sucre,G3
14,1000014,Andrés Cruz Ortiz,MAT-00014,F,Dermatología,Radial 26,Oruro,G3
15,1000015,Gabriela Morales Medina,MAT-00015,M,Neurología,Hamacas,Tarija,G3
16,1000016,José Reyes Núñez,MAT-00016,M,Dermatología,La Guardia,Potosí,G3
17,1000017,Isabella Gutiérrez Molina,MAT-00017,F,Medicina General,Cotoca,Trinidad,G3
18,1000018,Ricardo Ortiz Pérez,MAT-00018,F,Cardiología,Warnes,Cobija,G3
19,1000019,Daniela Ramos Díaz,MAT-00019,M,Ginecología,Montero,El Alto,G3
20,1000020,Fernando Vargas Vargas,MAT-00020,M,Medicina General,Zona Norte,Santa Cruz,G3
21,1000021,Natalia Castillo Vega,MAT-00021,F,Ginecología,Zona Sur,La Paz,G3
