paciente_key,sucursal_key,ci,nombre,fecha_nacimiento,sexo,direccion,telefono,zona,ciudad,grupo_origen
497,1,2000497,Rosa Vega Castillo,2008-06-23,F,Calle Sucre #997,69450416,Equipetrol,Potosí,G3
826,1,2000826,Sergio Pérez Ortiz,2014-09-23,M,Av. Busch #1326,67373779,Plan 3000,Tarija,G3
1358,1,2001358,Pablo Ortiz Cruz,1978-08-01,F,Av. Libertad #1858,67240791,Plan 3000,Tarija,G3
1846,1,2001846,Álvaro Aguilar Miranda,1962-08-09,F,Av. Busch #2346,67409081,Cotoca,Trinidad,G3
2266,1,2002266,Tomás Pérez Ortiz,1981-10-30,M,Av. Busch #2766,65055856,Plan 3000,Tarija,G3
3118,1,2003118,Pedro Ortiz Cruz,2014-10-17,M,Av. Busch #3618,67333208,Radial 10,La Paz,G3
3254,1,2003254,Luis Salazar Mendoza,2014-05-21,M,Av. Libertad #3754,63151459,Plan 3000,Tarija,G3
3743,1,2003743,Claudia Díaz Ramos,1983-05-22,M,Calle Jordán #4243,66281137,Warnes,Cobija,G3
3805,1,2003805,Gabriela Morales Medina,1976-08-26,M,Calle Comercio #4305,64569902,Cotoca,Trinidad,G3
3872,1,2003872,José Núñez Reyes,1977-02-12,M,Av. Brasil #4372,61229589,Plan 3000,Tarija,G3
63,1,2000063,Elena Díaz Ramos,1966-08-16,M,Calle Bolívar #563,68842246,Warnes,Cobija,G3
64,1,2000064,Adrián Herrera Núñez,1994-01-27,M,Av. San Martín #564,63009337,Zona Norte,Santa Cruz,G3
65,1,2000065,Marta Chávez Hernández,1976-05-14,F,Calle Sucre #565,68902121,Equipetrol,Potosí,G3
66,1,2000066,Tomás Pérez Ortiz,1969-03-21,F,Av. Independencia #566,63384177,Urbarí,Trinidad,G3
67,1,2000067,María Gutiérrez Ríos,1991-04-11,F,Calle Junín #567,63726170,Equipetrol,Potosí,G3
68,1,2000068,Pedro Castro González,2004-06-25,M,Av. Brasil #568,68170663,Plan 3000,Tarija,G3
69,1,2000069,Sofía Molina Gutiérrez,2004-07-06,F,Calle Colón #569,65963326,Zona Oeste,Oruro,G3
70,1,2000070,Jorge Flores Delgado,1950-11-07,M,Av. Busch #570,64591148,Zona Sur,La Paz,G3
71,1,2000071,Fernanda Castillo López,1992-11-14,F,Calle Jordán #571,63316216,Plan 3000,Tarija,G3
72,1,2000072,José Núñez Reyes,1962-05-23,M,Av. Principal #572,66620500,Plan 3000,Tarija,G3
73,1,2000073,Daniela López Campos,2011-08-28,M,Calle Comercio #573,62583452,Zona Este,Sucre,G3
74,1,2000074,Roberto Cruz Martínez,2015-12-14,F,Av. Libertad #574,62991296,Cotoca,Trinidad,G3
75,1,2000075,Carolina Medina Morales,1996-10-26,M,Calle Bolívar #575,68416303,Zona Sur,La Paz,G3
76,1,2000076,Sergio Contreras Castro,2008-12-07,F,Av. San Martín #576,62418843,Zona Norte,Santa Cruz,G3
77,1,2000077,Mónica Sánchez Rodríguez,1988-10-25,M,Calle Sucre #577,66360795,Warnes,Cobija,G3
78,1,2000078,Gustavo Ortiz Cruz,1994-08-03,F,Av. Independencia #578,61194724,Plan 3000,Tarija,G3
79,1,2000079,Lucía Campos Vega,1980-05-22,M,Calle Junín #579,66106654,Radial 17,Sucre,G3
80,1,2000080,Óscar García García,1998-12-21,M,Av. Brasil #580,68513461,Cotoca,Trinidad,G3
81,1,2000081,Teresa Rivera Díaz,2002-04-14,F,Calle Colón #581,62558901,Zona Central,Cochabamba,G3
82,1,2000082,Iván Mendoza Aguilar,2014-07-15,M,Av. Busch #582,66044644,Hamacas,Tarija,G3
83,1,2000083,Silvia Ponce Molina,1985-10-09,F,Calle Jordán #583,69317890,La Guardia,Potosí,G3
84,1,2000084,Carlos González Gómez,2000-01-31,F,Av. Principal #584,69773626,Zona Sur,La Paz,G3
85,1,2000085,Laura Morales Medina,1989-01-27,F,Calle Comercio #585,66154464,Los Lotes,Cobija,G3
86,1,2000086,Diego Aguilar Miranda,2007-06-15,F,Av. Libertad #586,61056544,Zona Sur,La Paz,G3
87,1,2000087,Camila Espinoza Rivera,1971-04-18,M,Calle Bolívar #587,61992836,Pampa de la Isla,El Alto,G3
365,1,2000365,Marta Morales Medina,1966-12-04,F,Calle Sucre #865,61747404,Radial 17,Sucre,G3
366,1,2000366,Tomás Aguilar Miranda,2011-03-04,M,Av. Independencia #866,64903453,Radial 26,Oruro,G3
367,1,2000367,María Espinoza Rivera,1962-05-05,M,Calle Junín #867,69075289,Zona Este,Sucre,G3
368,1,2000368,Pedro Ramírez Herrera,2015-07-09,F,Av. Brasil #868,61732173,Urbarí,Trinidad,G3
369,1,2000369,Sofía Ramos Espinoza,1977-01-24,M,Calle Colón #869,69704796,Montero,El Alto,G3
370,1,2000370,Jorge Delgado Flores,2008-12-08,F,Av. Busch #870,64972505,Montero,El Alto,G3
371,1,2000371,Fernanda Rodríguez Rojas,1996-05-13,M,Calle Jordán #871,61400361,Zona Este,Sucre,G3
372,1,2000372,José Gómez Contreras,1978-08-23,M,Av. Principal #872,69628667,Equipetrol,Potosí,G3
373,1,2000373,Daniela Rojas Torres,1968-10-27,F,Calle Comercio #873,62534375,Warnes,Cobija,G3
374,1,2000374,Roberto Salazar Mendoza,1979-09-16,F,Av. Libertad #874,65967747,Cotoca,Trinidad,G3
375,1,2000375,Carolina Hernández Chávez,1953-07-06,M,Calle Bolívar #875,67553979,Plan 3000,Tarija,G3
376,1,2000376,Sergio Reyes Ramírez,1953-11-04,F,Av. San Martín #876,65337206,Radial 26,Oruro,G3
377,1,2000377,Mónica Vega Castillo,1951-07-11,M,Calle Sucre #877,68550399,Los Lotes,Cobija,G3
378,1,2000378,Gustavo Miranda Salazar,1953-12-16,F,Av. Independencia #878,67296022,Plan 3000,Tarija,G3
443,1,2000443,Claudia Ponce Molina,1984-10-25,M,Calle Jordán #943,65812136,Warnes,Cobija,G3
444,1,2000444,Raúl González Gómez,1972-10-14,F,Av. Principal #944,62578450,Urbarí,Trinidad,G3
445,1,2000445,Verónica Morales Medina,1975-03-13,F,Calle Comercio #945,69659380,Equipetrol,Potosí,G3
446,1,2000446,Álvaro Aguilar Miranda,1958-04-22,F,Av. Libertad #946,69009739,Zona Oeste,Oruro,G3
447,1,2000447,Rosa Espinoza Rivera,1957-07-27,F,Calle Bolívar #947,66872782,Zona Norte,Santa Cruz,G3
448,1,2000448,César Ramírez Herrera,2000-02-29,M,Av. San Martín #948,68846603,Urbarí,Trinidad,G3
449,1,2000449,Beatriz Ramos Espinoza,1988-05-18,M,Calle Sucre #949,63807979,Los Lotes,Cobija,G3
450,1,2000450,Juan Delgado Flores,1981-11-11,F,Av. Independencia #950,68434451,Radial 13,Cochabamba,G3
451,1,2000451,Ana Rodríguez Rojas,1994-11-24,F,Calle Junín #951,61839600,Zona Sur,La Paz,G3
452,1,2000452,Miguel Gómez Contreras,2003-07-10,M,Av. Brasil #952,66003123,Plan 3000,Tarija,G3
453,1,2000453,Valentina Rojas Torres,2003-01-28,M,Calle Colón #953,66614878,Zona Sur,La Paz,G3
454,1,2000454,Luis Salazar Mendoza,1976-04-13,F,Av. Busch #954,68321831,Zona Central,Cochabamba,G3
455,1,2000455,Gabriela Hernández Chávez,2003-09-26,F,Calle Jordán #955,68420151,Urbarí,Trinidad,G3
456,1,2000456,Ricardo Reyes Ramírez,2012-02-07,F,Av. Principal #956,68117756,Warnes,Cobija,G3
457,1,2000457,Natalia Vega Castillo,1994-03-02,F,Calle Comercio #957,69066648,Plan 3000,Tarija,G3
458,1,2000458,Pablo Miranda Salazar,1993-12-18,M,Av. Libertad #958,66993364,Radial 13,Cochabamba,G3
459,1,2000459,Paola Torres Sánchez,2002-10-14,M,Calle Bolívar #959,66463957,Radial 26,Oruro,G3
460,1,2000460,Héctor Vargas Vargas,1981-11-16,F,Av. San Martín #960,63167307,Warnes,Cobija,G3
461,1,2000461,Patricia Ríos Ponce,1965-01-15,M,Calle Sucre #961,69611048,Los Lotes,Cobija,G3
462,1,2000462,Marco Martínez Pérez,1954-09-14,F,Av. Independencia #962,67818306,Montero,El Alto,G3
463,1,2000463,Elena Díaz Ramos,1973-12-20,M,Calle Junín #963,65439134,Radial 10,La Paz,G3
464,1,2000464,Adrián Herrera Núñez,1997-08-23,M,Av. Brasil #964,63631070,Warnes,Cobija,G3
465,1,2000465,Marta Chávez Hernández,1967-04-27,M,Calle Colón #965,62566886,Radial 13,Cochabamba,G3
466,1,2000466,Tomás Pérez Ortiz,1956-08-13,M,Av. Busch #966,65754436,Montero,El Alto,G3
467,1,2000467,María Gutiérrez Ríos,1984-12-14,F,Calle Jordán #967,68114866,Zona Sur,La Paz,G3
468,1,2000468,Pedro Castro González,1953-07-17,F,Av. Principal #968,62364870,Zona Sur,La Paz,G3
469,1,2000469,Sofía Molina Gutiérrez,2012-09-02,F,Calle Comercio #969,69333363,Zona Oeste,Oruro,G3
470,1,2000470,Jorge Flores Delgado,2016-03-10,F,Av. Libertad #970,67745373,Plan 3000,Tarija,G3
471,1,2000471,Fernanda Castillo López,1990-08-21,M,Calle Bolívar #971,61610379,Zona Sur,La Paz,G3
472,1,2000472,José Núñez Reyes,1973-11-07,M,Av. San Martín #972,66442785,Zona Central,Cochabamba,G3
473,1,2000473,Daniela López Campos,2014-08-17,M,Calle Sucre #973,62272351,Zona Norte,Santa Cruz,G3
474,1,2000474,Roberto Cruz Martínez,1950-07-01,F,Av. Independencia #974,62292144,Warnes,Cobija,G3
475,1,2000475,Carolina Medina Morales,1981-11-19,F,Calle Junín #975,69352161,Radial 17,Sucre,G3
476,1,2000476,Sergio Contreras Castro,1965-01-12,M,Av. Brasil #976,64682425,Zona Central,Cochabamba,G3
477,1,2000477,Mónica Sánchez Rodríguez,2016-08-15,M,Calle Colón #977,66138044,Zona Norte,Santa Cruz,G3
478,1,2000478,Gustavo Ortiz Cruz,1990-03-24,M,Av. Busch #978,62051476,Pampa de la Isla,El Alto,G3
479,1,2000479,Lucía Campos Vega,1983-04-15,M,Calle Jordán #979,61540841,Zona Este,Sucre,G3
480,1,2000480,Óscar García García,1999-10-22,M,Av. Principal #980,63983164,Equipetrol,Potosí,G3
481,1,2000481,Teresa Rivera Díaz,1961-01-17,M,Calle Comercio #981,65848023,Radial 13,Cochabamba,G3
482,1,2000482,Iván Mendoza Aguilar,1996-09-15,F,Av. Libertad #982,69915442,Plan 3000,Tarija,G3
483,1,2000483,Silvia Ponce Molina,1999-11-30,M,Calle Bolívar #983,69156939,Zona Sur,La Paz,G3
484,1,2000484,Carlos González Gómez,2003-07-27,F,Av. San Martín #984,64582503,Plan 3000,Tarija,G3
